Country,months_diff,Cases,Pop_den
Guinea,1,11088.0,45.3807992837376
Guinea,2,17013.0,45.3807992837376
Guinea,3,21816.0,45.3807992837376
Guinea,4,61876.0,46.36887773223029
Guinea,5,61188.0,46.5248901188344
Guinea,6,56884.0,46.5248901188344
Guinea,7,49810.0,46.5248901188344
Guinea,8,75894.0,46.5248901188344
Guinea,9,77232.0,46.5248901188344
Guinea,10,82721.0,46.5248901188344
Guinea,11,87158.0,46.5248901188344
Guinea,12,79682.0,46.5248901188344
Guinea,13,64659.0,46.5248901188344
Guinea,14,49472.0,46.52489011883439
Guinea,15,41852.0,46.5248901188344
Guinea,16,3804.0,46.5248901188344
Guinea,18,3804.0,47.7715855445222
Liberia,1,33371.0,45.2606727574751
Liberia,2,61233.0,45.2606727574751
Liberia,3,69967.0,45.2606727574751
Liberia,4,182666.0,46.27136580715797
Liberia,5,178702.0,46.4309489202658
Liberia,6,160629.0,46.4309489202658
Liberia,7,140828.0,46.4309489202658
Liberia,8,222179.0,46.4309489202658
Liberia,9,223986.0,46.4309489202658
Liberia,10,234652.0,46.4309489202658
Liberia,11,245318.0,46.4309489202658
Liberia,12,223986.0,46.4309489202658
Liberia,13,181322.0,46.4309489202658
Liberia,14,138658.0,46.4309489202658
Liberia,15,117326.0,46.4309489202658
Liberia,16,10666.0,46.4309489202658
Liberia,18,10666.0,47.6203073089701
Mali,1,1.0,13.8783410780288
Mali,2,32.0,13.8783410780288
Mali,3,72.0,13.8783410780288
Mali,4,144.0,14.22293153798455
Mali,5,160.0,14.291849629975697
Mali,6,136.0,14.2918496299757
Mali,7,112.0,14.2918496299757
Mali,8,168.0,14.2918496299757
Mali,9,168.0,14.2918496299757
Mali,10,176.0,14.2918496299757
Mali,11,184.0,14.2918496299757
Mali,12,168.0,14.2918496299757
Mali,13,136.0,14.2918496299757
Mali,14,104.0,14.2918496299757
Mali,15,88.0,14.2918496299757
Mali,16,8.0,14.2918496299757
Mali,18,8.0,14.7234840475664
Nigeria,1,160.0,193.687682949592
Nigeria,2,180.0,193.687682949592
Nigeria,3,180.0,193.687682949592
Nigeria,4,360.0,198.01783124901618
Nigeria,5,400.0,198.883860908901
Nigeria,6,340.0,198.883860908901
Nigeria,7,280.0,198.883860908901
Nigeria,8,420.0,198.88386090890103
Nigeria,9,420.0,198.88386090890103
Nigeria,10,440.0,198.883860908901
Nigeria,11,460.0,198.883860908901
Nigeria,12,420.0,198.88386090890103
Nigeria,13,340.0,198.883860908901
Nigeria,14,260.0,198.883860908901
Nigeria,15,220.0,198.883860908901
Nigeria,16,20.0,198.883860908901
Nigeria,18,20.0,204.179149510853
Senegal,1,8.0,73.6235391886979
Senegal,2,9.0,73.6235391886979
Senegal,3,9.0,73.6235391886979
Senegal,4,18.0,75.37092920583807
Senegal,5,20.0,75.7204072092661
Senegal,6,17.0,75.7204072092661
Senegal,7,14.0,75.7204072092661
Senegal,8,21.0,75.7204072092661
Senegal,9,21.0,75.7204072092661
Senegal,10,22.0,75.7204072092661
Senegal,11,23.0,75.7204072092661
Senegal,12,21.0,75.7204072092661
Senegal,13,17.0,75.7204072092661
Senegal,14,13.0,75.7204072092661
Senegal,15,11.0,75.7204072092661
Senegal,16,1.0,75.7204072092661
Senegal,18,1.0,77.8762478574768
Sierra Leone,1,24744.0,97.2174147963425
Sierra Leone,2,50010.0,97.2174147963425
Sierra Leone,3,75097.0,97.2174147963425
Sierra Leone,4,221249.0,99.06907604725565
Sierra Leone,5,219399.0,99.3614436131893
Sierra Leone,6,198815.0,99.3614436131893
Sierra Leone,7,171479.0,99.3614436131893
Sierra Leone,8,263712.0,99.3614436131893
Sierra Leone,9,271692.0,99.3614436131893
Sierra Leone,10,290300.0,99.3614436131893
Sierra Leone,11,309814.0,99.3614436131893
Sierra Leone,12,288407.0,99.3614436131893
Sierra Leone,13,237574.0,99.3614436131893
Sierra Leone,14,183411.0,99.3614436131893
Sierra Leone,15,155342.0,99.3614436131893
Sierra Leone,16,14122.0,99.3614436131893
Sierra Leone,18,14122.0,101.535688556387
Spain,1,5.0,92.9227364506907
Spain,2,9.0,92.9227364506907
Spain,3,9.0,92.9227364506907
Spain,4,18.0,92.94769434266054
Spain,5,20.0,92.9526859210545
Spain,6,17.0,92.9526859210545
Spain,7,14.0,92.9526859210545
Spain,8,21.0,92.9526859210545
Spain,9,21.0,92.9526859210545
Spain,10,22.0,92.9526859210545
Spain,11,23.0,92.9526859210545
Spain,12,21.0,92.9526859210545
Spain,13,17.0,92.9526859210545
Spain,14,13.0,92.9526859210545
Spain,15,11.0,92.9526859210545
Spain,16,1.0,92.9526859210545
Spain,18,1.0,93.0492629572988
United States,1,15.0,34.8061342979769
United States,2,36.0,34.8061342979769
United States,3,36.0,34.8061342979769
United States,4,72.0,35.0204629465649
United States,5,80.0,35.0633286762825
United States,6,68.0,35.0633286762825
United States,7,56.0,35.0633286762825
United States,8,84.0,35.0633286762825
United States,9,84.0,35.0633286762825
United States,10,88.0,35.0633286762825
United States,11,92.0,35.0633286762825
United States,12,84.0,35.0633286762825
United States,13,68.0,35.0633286762825
United States,14,52.0,35.0633286762825
United States,15,44.0,35.0633286762825
United States,16,4.0,35.0633286762825
United States,18,4.0,35.3183471405052
